a, 57.9+-0.15,
1611, 0, 0
1620, 0, 0
1629, 0, 0
1638, 0, 0
1647, 0, 0
1656, 0, 0
1665, 0, 0
1674, 0, 0
1683, 0, 0
1692, 0, 0
1701, 0, 0
1710, 0, 0
1719, 0, 0
1728, 0, 0
1737, 0, 0
1746, 0, 0
1755, 0, 0
1764, 0, 0
1773, 0, 0
1782, 0, 0
1791, 0, 0
1800, 0, 0
1809, 0, 0
1818, 0, 0
1827, 0, 0
1836, 0, 0
1845, 1, 0
1854, 0, 0
1863, 0, 0
1872, 0, 0
1881, 0, 0
1890, 0, 0
1899, 0, 0
1908, 0, 0
1917, 0, 0
1926, 0, 0
1935, 0, 0
1944, 0, 0
1953, 0, 0
1962, 0, 0
1971, 0, 0
1980, 0, 0
1989, 0, 0
1998, 0, 0
2007, 0, 0
2016, 0, 0
2025, 0, 0
2034, 0, 0
2043, 0, 0
2052, 0, 0
2061, 0, 0
2070, 0, 0
2079, 0, 0
2088, 0, 0
2097, 0, 0
2106, 0, 0
2115, 0, 0
2124, 0, 0
2133, 0, 0
2142, 0, 0
2151, 1, 0
2160, 0, 0
2169, 0, 0
2178, 0, 0
2187, 0, 0
2196, 0, 0
2205, 0, 0
2214, 0, 0
2223, 0, 0
2232, 0, 0
2241, 0, 0
2250, 0, 0
2259, 0, 0
2268, 0, 0
2277, 0, 0
2286, 0, 0
2295, 0, 0
2304, 0, 0
2313, 0, 0
2322, 0, 0
2331, 0, 0
2340, 0, 0
2349, 0, 0
2358, 0, 0
2367, 0, 0
2376, 0, 0
2385, 0, 0
2394, 0, 0
2403, 0, 0
2412, 0, 0
2421, 0, 0
2430, 0, 0
2439, 0, 0
2448, 0, 0
2457, 0, 0
2466, 0, 0
2475, 0, 0
2484, 0, 0
2493, 0, 0
2502, 0, 0
2511, 0, 0
2520, 0, 0
2529, 0, 0
2538, 0, 0
2547, 0, 0
2556, 0, 0
2565, 0, 0
2574, 0, 0
2583, 0, 0
2592, 0, 0
2601, 0, 0
2610, 0, 0
2619, 0, 0
2628, 0, 0
2637, 0, 0
2646, 0, 0
2655, 1, 0
2664, 0, 0
2673, 0, 0
2682, 0, 0
2691, 0, 0
2700, 0, 0
2709, 0, 0
2718, 0, 0
2727, 0, 0
2736, 0, 0
2745, 0, 0
2754, 0, 0
2763, 0, 0
2772, 0, 0
2781, 0, 0
2790, 0, 0
2799, 0, 0
2808, 1, 0
2817, 0, 0
2826, 0, 0
2835, 0, 0
2844, 0, 0
2853, 0, 0
2862, 0, 0
2871, 0, 0
2880, 0, 0
2889, 0, 0
2898, 0, 0
2907, 0, 0
2916, 0, 0
2925, 0, 0
2934, 0, 0
2943, 0, 0
2952, 0, 0
2961, 0, 0
2970, 0, 0
2979, 0, 0
2988, 0, 0
2997, 1, 0
3006, 0, 0
3015, 0, 0
3024, 0, 0
3033, 0, 0
3042, 0, 0
3051, 0, 0
3060, 0, 0
3069, 0, 0
3078, 0, 0
3087, 0, 0
3096, 0, 0
3105, 0, 0
3114, 0, 0
3123, 0, 0
3132, 0, 0
3141, 0, 0
3150, 0, 0
3159, 1, 0
3168, 0, 0
3177, 0, 0
3186, 0, 0
3195, 0, 0
3204, 0, 0
3213, 0, 0
3222, 0, 0
3231, 0, 0
3240, 0, 0
3249, 0, 0
3258, 0, 0
3267, 1, 0
3276, 0, 0
3285, 0, 0
3294, 0, 0
3303, 0, 0
3312, 0, 0
3321, 0, 0
3330, 0, 0
3339, 0, 0
3348, 0, 0
3357, 0, 0
3366, 0, 0
3375, 0, 0
3384, 0, 0
3393, 0, 0
3402, 0, 0
3411, 0, 0
3420, 0, 0
3429, 0, 0
3438, 0, 0
3447, 0, 0
3456, 0, 0
3465, 0, 0
3474, 0, 0
3483, 0, 0
3492, 0, 0
3501, 0, 0
3510, 0, 0
3519, 0, 0
3528, 0, 0
3537, 0, 0
3546, 0, 0
3555, 0, 0
3564, 0, 0
3573, 0, 0
3582, 0, 0
3591, 0, 0
3600, 0, 0
3609, 0, 0
3618, 1, 0
3627, 0, 0
3636, 0, 0
3645, 0, 0
3654, 0, 0
3663, 0, 0
3672, 0, 0
3681, 0, 0
3690, 0, 0
3699, 0, 0
3708, 0, 0
3717, 0, 0
3726, 0, 0
3735, 1, 0
3744, 0, 0
3753, 0, 0
3762, 0, 0
3771, 0, 0
3780, 0, 0
3789, 0, 0
3798, 0, 0
3807, 0, 0
3816, 0, 0
3825, 0, 0
3834, 0, 0
3843, 0, 0
3852, 0, 0
3861, 0, 0
3870, 0, 0
3879, 0, 0
3888, 0, 0
3897, 0, 0
3906, 1, 0
3915, 0, 0
3924, 1, 0
3933, 0, 0
3942, 0, 0
3951, 0, 0
3960, 1, 0
3969, 0, 0
3978, 0, 0
3987, 0, 0
3996, 0, 0
4005, 0, 0
4014, 0, 0
4023, 0, 0
4032, 0, 0
4041, 0, 0
4050, 0, 0
4059, 0, 0
4068, 0, 0
4077, 0, 0
4086, 0, 0
4095, 0, 0
4104, 0, 0
4113, 0, 0
4122, 0, 0
4131, 1, 0
4140, 0, 0
4149, 0, 0
4158, 0, 0
4167, 0, 0
4176, 1, 0
4185, 0, 0
4194, 0, 0
4203, 0, 0
4212, 0, 0
4221, 0, 0
4230, 0, 0
4239, 0, 0
4248, 0, 0
4257, 0, 0
4266, 0, 0
4275, 0, 0
4284, 0, 0
4293, 0, 0
4302, 0, 0
4311, 0, 0
4320, 0, 0
4329, 0, 0
4338, 0, 0
4347, 0, 0
4356, 0, 0
4365, 0, 4.08158e-305
4374, 0, 2.12243e-300
4383, 0, 1.01445e-295
4392, 0, 4.45681e-291
4401, 0, 1.79975e-286
4410, 0, 6.68028e-282
4419, 0, 2.27914e-277
4428, 1, 7.14732e-273
4437, 0, 2.0602e-268
4446, 0, 5.45845e-264
4455, 0, 1.3293e-259
4464, 0, 2.9756e-255
4473, 0, 6.12235e-251
4482, 0, 1.15786e-246
4491, 0, 2.01275e-242
4500, 0, 3.21601e-238
4509, 0, 4.72324e-234
4518, 0, 6.37612e-230
4527, 0, 7.91167e-226
4536, 0, 9.02348e-222
4545, 0, 9.45963e-218
4554, 0, 9.11526e-214
4563, 0, 8.07344e-210
4572, 0, 6.57268e-206
4581, 0, 4.91837e-202
4590, 0, 3.38294e-198
4599, 0, 2.13876e-194
4608, 0, 1.24286e-190
4617, 0, 6.63866e-187
4626, 0, 3.25935e-183
4635, 0, 1.47088e-179
4644, 0, 6.10123e-176
4653, 0, 2.32623e-172
4662, 0, 8.15233e-169
4671, 1, 2.62607e-165
4680, 0, 7.77542e-162
4689, 0, 2.1161e-158
4698, 0, 5.29352e-155
4707, 0, 1.21716e-151
4716, 1, 2.57243e-148
4725, 0, 4.99728e-145
4734, 0, 8.92317e-142
4743, 0, 1.46453e-138
4752, 0, 2.2094e-135
4761, 0, 3.06368e-132
4770, 0, 3.90487e-129
4779, 0, 4.57473e-126
4788, 0, 4.92627e-123
4797, 0, 4.87602e-120
4806, 0, 4.43616e-117
4815, 1, 3.70974e-114
4824, 0, 2.85151e-111
4833, 0, 2.01465e-108
4842, 0, 1.30834e-105
4851, 1, 7.8097e-103
4860, 0, 4.28493e-100
4869, 0, 2.16096e-97
4878, 0, 1.00172e-94
4887, 0, 4.26813e-92
4896, 0, 1.67157e-89
4905, 0, 6.01737e-87
4914, 0, 1.99105e-84
4923, 0, 6.05555e-82
4932, 0, 1.69285e-79
4941, 0, 4.3499e-77
4950, 0, 1.02739e-74
4959, 0, 2.2304e-72
4968, 0, 4.45068e-70
4977, 0, 8.16326e-68
4986, 1, 1.37625e-65
4995, 0, 2.13267e-63
5004, 1, 3.0377e-61
5013, 0, 3.97705e-59
5022, 0, 4.78599e-57
5031, 1, 5.29392e-55
5040, 0, 5.38241e-53
5049, 0, 5.03004e-51
5058, 0, 4.32076e-49
5067, 0, 3.41148e-47
5076, 0, 2.47583e-45
5085, 0, 1.65156e-43
5094, 0, 1.01265e-41
5103, 0, 5.70718e-40
5112, 0, 2.9565e-38
5121, 0, 1.40776e-36
5130, 0, 6.16132e-35
5139, 0, 2.47864e-33
5148, 0, 9.16531e-32
5157, 0, 3.11513e-30
5166, 0, 9.73193e-29
5175, 1, 2.79458e-27
5184, 0, 7.37614e-26
5193, 1, 1.78952e-24
5202, 0, 3.99059e-23
5211, 0, 8.17962e-22
5220, 0, 1.54107e-20
5229, 1, 2.66875e-19
5238, 0, 4.24803e-18
5247, 0, 6.2153e-17
5256, 0, 8.35854e-16
5265, 0, 1.03322e-14
5274, 0, 1.17395e-13
5283, 1, 1.22604e-12
5292, 0, 1.17693e-11
5301, 0, 1.03846e-10
5310, 0, 8.42223e-10
5319, 0, 6.27852e-09
5328, 0, 4.30212e-08
5337, 1, 2.70958e-07
5346, 0, 1.56861e-06
5355, 0, 8.34687e-06
5364, 0, 4.0825e-05
5373, 1, 0.000183537
5382, 0, 0.000758431
5391, 0, 0.00288073
5400, 2, 0.0100574
5409, 2, 0.0322745
5418, 5, 0.0951984
5427, 4, 0.258104
5436, 4, 0.643211
5445, 5, 1.47335
5454, 8, 3.1021
5463, 8, 6.00341
5472, 11, 10.6791
5481, 17, 17.4609
5490, 28, 26.2418
5499, 25, 36.2506
5508, 46, 46.0289
5517, 60, 53.7205
5526, 62, 57.6295
5535, 48, 56.8256
5544, 52, 51.5036
5553, 50, 42.9068
5562, 30, 32.8555
5571, 23, 23.1252
5580, 15, 14.9609
5589, 7, 8.89659
5598, 8, 4.86278
5607, 2, 2.44309
5616, 1, 1.12821
5625, 0, 0.478888
5634, 1, 0.186841
5643, 0, 0.0670049
5652, 0, 0.0220869
5661, 0, 0.00669202
5670, 0, 0.00186369
5679, 0, 0.000477074
5688, 0, 0.000112252
5697, 0, 2.42769e-05
5706, 0, 4.82601e-06
5715, 0, 8.81816e-07
5724, 0, 1.48102e-07
5733, 0, 2.28634e-08
5742, 0, 3.24425e-09
5751, 0, 4.23138e-10
5760, 0, 5.07276e-11
5769, 0, 5.58987e-12
5778, 0, 5.66178e-13
5787, 0, 5.27108e-14
5796, 0, 4.51066e-15
5805, 0, 3.54793e-16
5814, 0, 2.5651e-17
5823, 0, 1.70462e-18
5832, 0, 1.04123e-19
5841, 0, 5.84602e-21
5850, 0, 3.01695e-22
5859, 0, 1.4311e-23
5868, 0, 6.23976e-25
5877, 0, 2.50068e-26
5886, 0, 9.21181e-28
5895, 0, 3.11907e-29
5904, 0, 9.70734e-31
5913, 0, 2.77696e-32
5922, 0, 7.30187e-34
5931, 0, 1.76479e-35
5940, 0, 3.92054e-37
5949, 0, 8.00559e-39
5958, 0, 1.50257e-40
5967, 0, 2.59222e-42
5976, 0, 4.11058e-44
5985, 0, 5.99141e-46
5994, 0, 8.02693e-48
6003, 0, 9.88472e-50
6012, 0, 1.11885e-51
6021, 0, 1.16407e-53
6030, 0, 1.11321e-55
6039, 0, 9.78518e-58
6048, 0, 7.90599e-60
6057, 0, 5.87136e-62
6066, 0, 4.00788e-64
6075, 0, 2.5147e-66
6084, 0, 1.45028e-68
6093, 0, 7.68798e-71
6102, 0, 3.74599e-73
6111, 0, 1.67771e-75
6120, 0, 6.90653e-78
6129, 0, 2.61335e-80
6138, 0, 9.08931e-83
6147, 0, 2.90575e-85
6156, 0, 8.53847e-88
6165, 0, 2.3062e-90
6174, 0, 5.72542e-93
6183, 0, 1.30651e-95
6192, 0, 2.7404e-98
6201, 0, 5.28333e-101
6210, 0, 9.36261e-104
6219, 0, 1.52504e-106
6228, 0, 2.28328e-109
6237, 0, 3.14218e-112
6246, 0, 3.97465e-115
6255, 0, 4.62126e-118
6264, 0, 4.93875e-121
6273, 0, 4.85141e-124
6282, 0, 4.38039e-127
6291, 0, 3.63541e-130
6300, 0, 2.77324e-133
6309, 0, 1.94454e-136
6318, 0, 1.25326e-139
6327, 0, 7.42434e-143
6336, 0, 4.04269e-146
6345, 0, 2.02338e-149
6354, 0, 9.3085e-153
6363, 0, 3.93619e-156
6372, 0, 1.52991e-159
6381, 0, 5.46577e-163
6390, 0, 1.79486e-166
6399, 0, 5.41759e-170
6408, 0, 1.50305e-173
6417, 0, 3.83299e-177
6426, 0, 8.98454e-181
6435, 0, 1.93575e-184
6444, 0, 3.8335e-188
6453, 0, 6.9781e-192
6462, 0, 1.16754e-195
6471, 0, 1.79558e-199
6480, 0, 2.53822e-203
6489, 0, 3.29798e-207
6498, 0, 3.93879e-211
6507, 0, 4.32386e-215
6516, 0, 4.36289e-219
6525, 0, 4.04643e-223
6534, 0, 3.44957e-227
6543, 0, 2.70304e-231
6552, 0, 1.94685e-235
6561, 0, 1.28887e-239
6570, 0, 7.84295e-244
6579, 0, 4.38677e-248
6588, 0, 2.2553e-252
6597, 0, 1.06576e-256
6606, 0, 4.62921e-261
6615, 0, 1.8482e-265
6624, 0, 6.78247e-270
6633, 0, 2.28781e-274
6642, 0, 7.09327e-279
6651, 0, 2.02147e-283
6660, 0, 5.29522e-288
6669, 0, 1.27495e-292
6678, 0, 2.82162e-297
6687, 0, 5.73982e-302
6696, 0, 1.07323e-306
6705, 0, 0
6714, 0, 0
6723, 0, 0
6732, 0, 0
6741, 0, 0
6750, 0, 0
6759, 0, 0
6768, 0, 0
6777, 0, 0
6786, 0, 0
6795, 0, 0
6804, 0, 0
6813, 0, 0
6822, 0, 0
6831, 0, 0
6840, 0, 0
6849, 0, 0
6858, 0, 0
6867, 0, 0
6876, 0, 0
6885, 0, 0
6894, 0, 0
6903, 0, 0
6912, 0, 0
6921, 0, 0
6930, 0, 0
6939, 0, 0
6948, 0, 0
6957, 0, 0
6966, 0, 0
6975, 0, 0
6984, 0, 0
6993, 0, 0
7002, 0, 0
7011, 0, 0
7020, 0, 0
7029, 0, 0
7038, 0, 0
7047, 0, 0
7056, 0, 0
7065, 0, 0
7074, 0, 0
7083, 0, 0
7092, 0, 0
7101, 0, 0
7110, 0, 0
7119, 0, 0
7128, 0, 0
7137, 0, 0
7146, 0, 0
7155, 0, 0
7164, 0, 0
7173, 0, 0
7182, 0, 0
7191, 0, 0
7200, 0, 0
7209, 0, 0
7218, 0, 0
7227, 0, 0
7236, 0, 0
7245, 0, 0
7254, 0, 0
7263, 0, 0
7272, 0, 0
7281, 0, 0
7290, 0, 0
7299, 0, 0
7308, 0, 0
7317, 0, 0
7326, 0, 0
7335, 0, 0
7344, 0, 0
7353, 0, 0
7362, 0, 0
7371, 0, 0
7380, 0, 0
7389, 0, 0
7398, 0, 0
7407, 0, 0
7416, 0, 0
7425, 0, 0
7434, 0, 0
7443, 0, 0
7452, 0, 0
7461, 0, 0
7470, 0, 0
7479, 0, 0
7488, 0, 0
7497, 0, 0
7506, 0, 0
7515, 0, 0
7524, 0, 0
7533, 0, 0
7542, 0, 0
7551, 0, 0
7560, 0, 0
7569, 0, 0
7578, 0, 0
7587, 0, 0
7596, 0, 0
7605, 0, 0
7614, 0, 0
7623, 0, 0
7632, 0, 0
7641, 0, 0
7650, 0, 0
7659, 0, 0
7668, 0, 0
7677, 0, 0
7686, 0, 0
7695, 0, 0
7704, 0, 0
7713, 0, 0
7722, 0, 0
7731, 0, 0
7740, 0, 0
7749, 0, 0
7758, 0, 0
7767, 0, 0
7776, 0, 0
7785, 0, 0
7794, 0, 0
7803, 0, 0
7812, 0, 0
7821, 0, 0
7830, 0, 0
7839, 0, 0
7848, 0, 0
7857, 0, 0
7866, 0, 0
7875, 0, 0
7884, 0, 0
7893, 0, 0
7902, 0, 0
7911, 0, 0
7920, 0, 0
7929, 0, 0
7938, 0, 0
7947, 0, 0
7956, 0, 0
7965, 0, 0
7974, 0, 0
7983, 0, 0
7992, 0, 0
8001, 0, 0
8010, 0, 0
8019, 0, 0
8028, 0, 0
8037, 0, 0
8046, 0, 0
8055, 0, 0
8064, 0, 0
8073, 0, 0
8082, 0, 0
8091, 0, 0
8100, 0, 0
8109, 0, 0
8118, 0, 0
8127, 0, 0
8136, 0, 0
8145, 0, 0
8154, 0, 0
8163, 0, 0
8172, 0, 0
8181, 0, 0
8190, 0, 0
8199, 0, 0
8208, 0, 0
8217, 0, 0
8226, 0, 0
8235, 0, 0
8244, 0, 0
8253, 0, 0
8262, 0, 0
8271, 0, 0
8280, 0, 0
8289, 0, 0
8298, 0, 0
8307, 0, 0
8316, 0, 0
8325, 0, 0
8334, 0, 0
8343, 0, 0
8352, 0, 0
8361, 0, 0
8370, 0, 0
8379, 0, 0
8388, 0, 0
8397, 0, 0
8406, 0, 0
8415, 0, 0
8424, 0, 0
8433, 0, 0
8442, 0, 0
8451, 0, 0
8460, 0, 0
8469, 0, 0
8478, 0, 0
8487, 0, 0
8496, 0, 0
8505, 0, 0
8514, 0, 0
8523, 0, 0
8532, 0, 0
8541, 0, 0
8550, 0, 0
8559, 0, 0
8568, 0, 0
8577, 0, 0
8586, 0, 0
8595, 0, 0
8604, 0, 0
8613, 0, 0
8622, 0, 0
8631, 0, 0
8640, 0, 0
8649, 0, 0
8658, 0, 0
8667, 0, 0
8676, 0, 0
8685, 0, 0
8694, 0, 0
8703, 0, 0
8712, 0, 0
8721, 0, 0
8730, 0, 0
8739, 0, 0
8748, 0, 0
8757, 0, 0
8766, 0, 0
8775, 0, 0
8784, 0, 0
8793, 0, 0
8802, 0, 0
8811, 0, 0
8820, 0, 0
8829, 0, 0
8838, 0, 0
8847, 0, 0
8856, 0, 0
8865, 0, 0
8874, 0, 0
8883, 0, 0
8892, 0, 0
8901, 0, 0
8910, 0, 0
8919, 0, 0
8928, 0, 0
8937, 0, 0
8946, 0, 0
8955, 0, 0
8964, 0, 0
8973, 0, 0
8982, 0, 0
8991, 0, 0
9000, 0, 0
9009, 0, 0
9018, 0, 0
9027, 0, 0
9036, 0, 0
9045, 0, 0
9054, 0, 0
9063, 0, 0
9072, 0, 0
9081, 0, 0
9090, 0, 0
9099, 0, 0
9108, 0, 0
9117, 0, 0
9126, 0, 0
9135, 0, 0
9144, 0, 0
9153, 0, 0
9162, 0, 0
9171, 0, 0
9180, 0, 0
9189, 0, 0
9198, 0, 0
9207, 0, 0
